"","ID","X","Y","reg.vis"
"202","SEAK_1",-139.487722,59.702417,"Southeast AK"
"203","SEAK_1",-139.486806,59.6995,"Southeast AK"
"204","SEAK_1",-139.479333,59.698277,"Southeast AK"
"205","SEAK_1",-139.485222,59.695333,"Southeast AK"
"206","SEAK_1",-139.50775,59.69575,"Southeast AK"
"207","SEAK_1",-139.516028,59.689056,"Southeast AK"
"208","SEAK_1",-139.522667,59.687417,"Southeast AK"
"209","SEAK_1",-139.530944,59.675777,"Southeast AK"
"210","SEAK_1",-139.557639,59.664083,"Southeast AK"
"211","SEAK_1",-139.562639,59.651582,"Southeast AK"
"212","SEAK_1",-139.571861,59.647028,"Southeast AK"
"213","SEAK_1",-139.589361,59.644138,"Southeast AK"
"214","SEAK_1",-139.596,59.624917,"Southeast AK"
"215","SEAK_1",-139.606056,59.619111,"Southeast AK"
"216","SEAK_1",-139.609306,59.61411,"Southeast AK"
"217","SEAK_1",-139.603556,59.611999,"Southeast AK"
"218","SEAK_1",-139.583528,59.613667,"Southeast AK"
"219","SEAK_1",-139.585972,59.611582,"Southeast AK"
"220","SEAK_1",-139.584306,59.60825,"Southeast AK"
"221","SEAK_1",-139.588472,59.605332,"Southeast AK"
"222","SEAK_1",-139.598611,59.603666,"Southeast AK"
"223","SEAK_1",-139.605139,59.600333,"Southeast AK"
"224","SEAK_1",-139.632667,59.594916,"Southeast AK"
"225","SEAK_1",-139.634361,59.584083,"Southeast AK"
"226","SEAK_1",-139.640111,59.581194,"Southeast AK"
"227","SEAK_1",-139.651861,59.579499,"Southeast AK"
"228","SEAK_1",-139.65775,59.575778,"Southeast AK"
"229","SEAK_1",-139.656833,59.57286,"Southeast AK"
"230","SEAK_1",-139.642694,59.570778,"Southeast AK"
"231","SEAK_1",-139.645167,59.567833,"Southeast AK"
"232","SEAK_1",-139.670222,59.567861,"Southeast AK"
"233","SEAK_1",-139.675139,59.571166,"Southeast AK"
"234","SEAK_1",-139.676833,59.570333,"Southeast AK"
"235","SEAK_1",-139.679306,59.573277,"Southeast AK"
"236","SEAK_1",-139.679389,59.58325,"Southeast AK"
"237","SEAK_1",-139.686778,59.587028,"Southeast AK"
"238","SEAK_1",-139.6935,59.587028,"Southeast AK"
"239","SEAK_1",-139.696778,59.589527,"Southeast AK"
"240","SEAK_1",-139.705111,59.589555,"Southeast AK"
"241","SEAK_1",-139.704333,59.583278,"Southeast AK"
"242","SEAK_1",-139.696056,59.583306,"Southeast AK"
"243","SEAK_1",-139.698444,59.581167,"Southeast AK"
"244","SEAK_1",-139.705194,59.582027,"Southeast AK"
"245","SEAK_1",-139.707694,59.580721,"Southeast AK"
"246","SEAK_1",-139.711083,59.574943,"Southeast AK"
"247","SEAK_1",-139.71775,59.571583,"Southeast AK"
"248","SEAK_1",-139.717722,59.563278,"Southeast AK"
"249","SEAK_1",-139.714361,59.559082,"Southeast AK"
"250","SEAK_1",-139.716833,59.558693,"Southeast AK"
"251","SEAK_1",-139.725972,59.564083,"Southeast AK"
"252","SEAK_1",-139.726861,59.567861,"Southeast AK"
"253","SEAK_1",-139.7335,59.56536,"Southeast AK"
"254","SEAK_1",-139.740194,59.569528,"Southeast AK"
"255","SEAK_1",-139.742667,59.569111,"Southeast AK"
"256","SEAK_1",-139.742694,59.564944,"Southeast AK"
"257","SEAK_1",-139.737639,59.561583,"Southeast AK"
"258","SEAK_1",-139.74025,59.561139,"Southeast AK"
"259","SEAK_1",-139.743556,59.563694,"Southeast AK"
"260","SEAK_1",-139.750139,59.563694,"Southeast AK"
"261","SEAK_1",-139.751,59.562444,"Southeast AK"
"262","SEAK_1",-139.744361,59.559082,"Southeast AK"
"263","SEAK_1",-139.746833,59.556999,"Southeast AK"
"264","SEAK_1",-139.750111,59.561194,"Southeast AK"
"265","SEAK_1",-139.756,59.559917,"Southeast AK"
"266","SEAK_1",-139.757694,59.557444,"Southeast AK"
"267","SEAK_1",-139.754417,59.552443,"Southeast AK"
"268","SEAK_1",-139.739278,59.547444,"Southeast AK"
"269","SEAK_1",-139.746833,59.5445,"Southeast AK"
"270","SEAK_1",-139.763528,59.546194,"Southeast AK"
"271","SEAK_1",-139.770194,59.543693,"Southeast AK"
"272","SEAK_1",-139.803472,59.543667,"Southeast AK"
"273","SEAK_1",-139.811806,59.546139,"Southeast AK"
"274","SEAK_1",-139.809333,59.549139,"Southeast AK"
"275","SEAK_1",-139.816806,59.553639,"Southeast AK"
"276","SEAK_1",-139.8435,59.559528,"Southeast AK"
"277","SEAK_1",-139.857639,59.552417,"Southeast AK"
"278","SEAK_1",-139.859333,59.548277,"Southeast AK"
"279","SEAK_1",-139.869333,59.542417,"Southeast AK"
"280","SEAK_1",-139.862722,59.53575,"Southeast AK"
"281","SEAK_1",-139.801917,59.515361,"Southeast AK"
"282","SEAK_1",-139.790167,59.51286,"Southeast AK"
"283","SEAK_1",-139.785167,59.509499,"Southeast AK"
"284","SEAK_1",-139.756806,59.501999,"Southeast AK"
"285","SEAK_1",-139.698472,59.478666,"Southeast AK"
"286","SEAK_1",-139.646778,59.461999,"Southeast AK"
"287","SEAK_1",-139.626833,59.453638,"Southeast AK"
"288","SEAK_1",-139.615222,59.452833,"Southeast AK"
"289","SEAK_1",-139.614389,59.454944,"Southeast AK"
"290","SEAK_1",-139.621056,59.45661,"Southeast AK"
"291","SEAK_1",-139.620139,59.462028,"Southeast AK"
"292","SEAK_1",-139.617778,59.457417,"Southeast AK"
"293","SEAK_1",-139.606861,59.454527,"Southeast AK"
"294","SEAK_1",-139.597611,59.448249,"Southeast AK"
"295","SEAK_1",-139.600194,59.447832,"Southeast AK"
"296","SEAK_1",-139.606917,59.451167,"Southeast AK"
"297","SEAK_1",-139.610194,59.451193,"Southeast AK"
"298","SEAK_1",-139.611028,59.449082,"Southeast AK"
"299","SEAK_1",-139.576833,59.433721,"Southeast AK"
"300","SEAK_1",-139.5685,59.431971,"Southeast AK"
"301","SEAK_1",-139.558417,59.432027,"Southeast AK"
"302","SEAK_1",-139.550972,59.43411,"Southeast AK"
"303","SEAK_1",-139.565111,59.440332,"Southeast AK"
"304","SEAK_1",-139.575139,59.439527,"Southeast AK"
"305","SEAK_1",-139.579333,59.440749,"Southeast AK"
"306","SEAK_1",-139.579333,59.443278,"Southeast AK"
"307","SEAK_1",-139.568611,59.443667,"Southeast AK"
"308","SEAK_1",-139.566778,59.446166,"Southeast AK"
"309","SEAK_1",-139.555972,59.444944,"Southeast AK"
"310","SEAK_1",-139.554278,59.439916,"Southeast AK"
"311","SEAK_1",-139.550194,59.437028,"Southeast AK"
"312","SEAK_1",-139.536806,59.434528,"Southeast AK"
"313","SEAK_1",-139.528528,59.435361,"Southeast AK"
"314","SEAK_1",-139.518472,59.432832,"Southeast AK"
"315","SEAK_1",-139.508444,59.427833,"Southeast AK"
"316","SEAK_1",-139.525167,59.43286,"Southeast AK"
"317","SEAK_1",-139.535222,59.433667,"Southeast AK"
"318","SEAK_1",-139.537694,59.432444,"Southeast AK"
"319","SEAK_1",-139.531,59.424889,"Southeast AK"
"320","SEAK_1",-139.4985,59.413694,"Southeast AK"
"321","SEAK_1",-139.483528,59.410306,"Southeast AK"
"322","SEAK_1",-139.470222,59.4045,"Southeast AK"
"323","SEAK_1",-139.461889,59.403667,"Southeast AK"
"324","SEAK_1",-139.461111,59.406583,"Southeast AK"
"325","SEAK_1",-139.473472,59.414528,"Southeast AK"
"326","SEAK_1",-139.456806,59.407028,"Southeast AK"
"327","SEAK_1",-139.4235,59.408694,"Southeast AK"
"328","SEAK_1",-139.413472,59.4145,"Southeast AK"
"329","SEAK_1",-139.411778,59.412833,"Southeast AK"
"330","SEAK_1",-139.398472,59.410332,"Southeast AK"
"331","SEAK_1",-139.411806,59.409527,"Southeast AK"
"332","SEAK_1",-139.419306,59.405778,"Southeast AK"
"333","SEAK_1",-139.411833,59.4045,"Southeast AK"
"334","SEAK_1",-139.403444,59.407028,"Southeast AK"
"335","SEAK_1",-139.40275,59.40575,"Southeast AK"
"336","SEAK_1",-139.409306,59.403278,"Southeast AK"
"337","SEAK_1",-139.4085,59.401999,"Southeast AK"
"338","SEAK_1",-139.3935,59.399471,"Southeast AK"
"339","SEAK_1",-139.385167,59.400361,"Southeast AK"
"340","SEAK_1",-139.37525,59.397833,"Southeast AK"
"341","SEAK_1",-139.381083,59.39575,"Southeast AK"
"342","SEAK_1",-139.371861,59.393694,"Southeast AK"
"343","SEAK_1",-139.368556,59.388667,"Southeast AK"
"344","SEAK_1",-139.376833,59.387806,"Southeast AK"
"345","SEAK_1",-139.379278,59.386582,"Southeast AK"
"346","SEAK_1",-139.376917,59.384499,"Southeast AK"
"347","SEAK_1",-139.383583,59.385332,"Southeast AK"
"348","SEAK_1",-139.386806,59.383666,"Southeast AK"
"349","SEAK_1",-139.391028,59.384055,"Southeast AK"
"350","SEAK_1",-139.380167,59.379528,"Southeast AK"
"351","SEAK_1",-139.391833,59.382805,"Southeast AK"
"352","SEAK_1",-139.39925,59.381583,"Southeast AK"
"353","SEAK_1",-139.391028,59.375778,"Southeast AK"
"354","SEAK_1",-139.391806,59.374472,"Southeast AK"
"355","SEAK_1",-139.400139,59.375333,"Southeast AK"
"356","SEAK_1",-139.405111,59.378693,"Southeast AK"
"357","SEAK_1",-139.410167,59.378639,"Southeast AK"
"358","SEAK_1",-139.411806,59.381167,"Southeast AK"
"359","SEAK_1",-139.458528,59.393694,"Southeast AK"
"360","SEAK_1",-139.481889,59.406194,"Southeast AK"
"361","SEAK_1",-139.530222,59.422028,"Southeast AK"
"362","SEAK_1",-139.540167,59.427,"Southeast AK"
"363","SEAK_1",-139.547694,59.427417,"Southeast AK"
"364","SEAK_1",-139.546,59.422444,"Southeast AK"
"365","SEAK_1",-139.536806,59.417027,"Southeast AK"
"366","SEAK_1",-139.485194,59.400361,"Southeast AK"
"367","SEAK_1",-139.450167,59.385332,"Southeast AK"
"368","SEAK_1",-139.398472,59.372,"Southeast AK"
"369","SEAK_1",-139.37525,59.362806,"Southeast AK"
"370","SEAK_1",-139.355139,59.357889,"Southeast AK"
"371","SEAK_1",-139.325139,59.347806,"Southeast AK"
"372","SEAK_1",-139.316889,59.346166,"Southeast AK"
"373","SEAK_1",-139.308472,59.346166,"Southeast AK"
"374","SEAK_1",-139.305944,59.347443,"Southeast AK"
"375","SEAK_1",-139.306,59.35075,"Southeast AK"
"376","SEAK_1",-139.314306,59.356556,"Southeast AK"
"377","SEAK_1",-139.312722,59.362417,"Southeast AK"
"378","SEAK_1",-139.319278,59.369111,"Southeast AK"
"379","SEAK_1",-139.315139,59.367,"Southeast AK"
"380","SEAK_1",-139.310111,59.367,"Southeast AK"
"381","SEAK_1",-139.302722,59.371582,"Southeast AK"
"382","SEAK_1",-139.304389,59.374917,"Southeast AK"
"383","SEAK_1",-139.289389,59.379971,"Southeast AK"
"384","SEAK_1",-139.287722,59.385749,"Southeast AK"
"385","SEAK_1",-139.270167,59.392832,"Southeast AK"
"386","SEAK_1",-139.251778,59.393667,"Southeast AK"
"387","SEAK_1",-139.246833,59.391222,"Southeast AK"
"388","SEAK_1",-139.246028,59.388278,"Southeast AK"
"389","SEAK_1",-139.251,59.384944,"Southeast AK"
"390","SEAK_1",-139.249306,59.376583,"Southeast AK"
"391","SEAK_1",-139.252722,59.37325,"Southeast AK"
"392","SEAK_1",-139.246028,59.370777,"Southeast AK"
"393","SEAK_1",-139.245944,59.367416,"Southeast AK"
"394","SEAK_1",-139.2485,59.366194,"Southeast AK"
"395","SEAK_1",-139.253417,59.367861,"Southeast AK"
"396","SEAK_1",-139.259389,59.366611,"Southeast AK"
"397","SEAK_1",-139.259361,59.361611,"Southeast AK"
"398","SEAK_1",-139.242667,59.34661,"Southeast AK"
"399","SEAK_1",-139.235194,59.342861,"Southeast AK"
"400","SEAK_1",-139.2135,59.342833,"Southeast AK"
"401","SEAK_1",-139.206806,59.34036,"Southeast AK"
"402","SEAK_1",-139.198444,59.340306,"Southeast AK"
"403","SEAK_1",-139.188528,59.337889,"Southeast AK"
"404","SEAK_1",-139.168556,59.337833,"Southeast AK"
"405","SEAK_1",-139.165972,59.33575,"Southeast AK"
"406","SEAK_1",-139.174361,59.329111,"Southeast AK"
"407","SEAK_1",-139.17275,59.326583,"Southeast AK"
"408","SEAK_1",-139.161889,59.321138,"Southeast AK"
"409","SEAK_1",-139.153444,59.319472,"Southeast AK"
"410","SEAK_1",-139.150222,59.315332,"Southeast AK"
"411","SEAK_1",-139.141806,59.314527,"Southeast AK"
"412","SEAK_1",-139.13275,59.31075,"Southeast AK"
"413","SEAK_1",-139.151861,59.310333,"Southeast AK"
"414","SEAK_1",-139.160167,59.313694,"Southeast AK"
"415","SEAK_1",-139.203528,59.32286,"Southeast AK"
"416","SEAK_1",-139.215167,59.327861,"Southeast AK"
"417","SEAK_1",-139.225194,59.328694,"Southeast AK"
"418","SEAK_1",-139.236806,59.332833,"Southeast AK"
"419","SEAK_1",-139.23925,59.330749,"Southeast AK"
"420","SEAK_1",-139.235222,59.327,"Southeast AK"
"421","SEAK_1",-139.211889,59.320361,"Southeast AK"
"422","SEAK_1",-139.175139,59.312889,"Southeast AK"
"423","SEAK_1",-139.140222,59.302861,"Southeast AK"
"424","SEAK_1",-139.118444,59.299527,"Southeast AK"
"425","SEAK_1",-139.095111,59.291194,"Southeast AK"
"426","SEAK_1",-139.071833,59.285388,"Southeast AK"
"427","SEAK_1",-139.056833,59.282833,"Southeast AK"
"428","SEAK_1",-139.040194,59.282861,"Southeast AK"
"429","SEAK_1",-139.0185,59.276194,"Southeast AK"
"430","SEAK_1",-138.938361,59.259556,"Southeast AK"
"431","SEAK_1",-138.93,59.256221,"Southeast AK"
"432","SEAK_1",-138.880083,59.243722,"Southeast AK"
"433","SEAK_1",-138.861694,59.242,"Southeast AK"
"434","SEAK_1",-138.860056,59.240306,"Southeast AK"
