reg,long,lat
GOA,-145.8614787,60.88456513
GOA,-146.0196453,60.97160605
GOA,-146.0893926,61.04422262
GOA,-146.0790895,61.13436467
GOA,-146.1698889,61.22064664
GOA,-146.5250811,61.23403929
GOA,-146.7767925,61.2124557
GOA,-147.1788319,61.18938299
GOA,-147.3992121,61.17159777
GOA,-147.4770576,61.24886108
GOA,-147.5831991,61.29933968
GOA,-147.7629747,61.30447893
GOA,-148.0859257,61.24701267
GOA,-148.4409493,61.12140833
GOA,-148.6103146,61.04819403
GOA,-148.8295032,60.99449523
GOA,-149.1417174,61.07741347
GOA,-149.3131712,61.14464446
GOA,-149.3655185,61.22664687
GOA,-149.3401192,61.31629753
GOA,-149.2417558,61.38983154
GOA,-149.2148495,61.46264782
GOA,-149.2412371,61.52656449
GOA,-149.3854007,61.5708039
GOA,-149.6261267,61.552984
GOA,-149.9090608,61.48171128
GOA,-150.1132977,61.38901787
GOA,-150.1867364,61.33030386
GOA,-150.429131,61.32787594
GOA,-150.6123523,61.3414575
GOA,-150.8538977,61.32139893
GOA,-151.2509485,61.18004515
GOA,-151.3782247,61.09872146
GOA,-151.8061856,60.97825371
GOA,-151.9878484,60.79127609
GOA,-152.2546567,60.66321257
GOA,-152.4428393,60.52724924
GOA,-152.5941229,60.44451638
GOA,-152.8780507,60.29938226
GOA,-153.0395279,60.10967171
GOA,-153.389274,59.89655031
GOA,-153.6368126,59.81989678
GOA,-153.8022726,59.690918
GOA,-154.0966313,59.49782567
GOA,-154.3605798,59.36264094
GOA,-154.4778816,59.14330888
GOA,-154.4079953,59.01352216
GOA,-154.1801324,58.87374751
GOA,-154.0571922,58.78568391
GOA,-154.1585722,58.65164221
GOA,-154.4464564,58.4542651
GOA,-154.9227969,58.24686455
GOA,-155.0859788,58.16618967
GOA,-155.2114209,58.10610478
GOA,-155.2758934,58.00248851
GOA,-155.357426,57.83001581
GOA,-155.3815345,57.71851472
GOA,-155.5216948,57.52443992
GOA,-155.4510142,57.3544781
GOA,-155.4398698,57.23967008
GOA,-155.3622681,57.05947343
GOA,-154.9847128,56.92147151
GOA,-154.9299775,56.8295636
GOA,-154.9288883,56.7237029
GOA,-154.9717462,56.552973
GOA,-154.9469586,56.41728391
GOA,-154.9042308,56.35139851
GOA,-154.7656092,56.29882326
GOA,-154.481554,56.28998639
GOA,-154.0846253,56.29756139
GOA,-153.6988698,56.37153331
GOA,-153.4605244,56.51294589
GOA,-153.2832465,56.63825412
GOA,-153.2360097,56.79553852
GOA,-152.9576813,56.95504684
GOA,-152.69239,57.06367763
GOA,-152.3547961,57.1473639
GOA,-152.0228386,57.30881157
GOA,-151.8944382,57.47508351
GOA,-151.8413683,57.60129204
GOA,-151.8835025,57.74070651
GOA,-151.9309224,57.84458205
GOA,-151.884613,57.95172604
GOA,-151.7492683,58.05514859
GOA,-151.6259834,58.13285558
GOA,-151.5114638,58.20843298
GOA,-151.4782966,58.27796671
GOA,-151.5587748,58.368886
GOA,-151.6658553,58.46552739
GOA,-151.7606664,58.58750364
GOA,-151.7803715,58.66858241
GOA,-151.8154887,58.76914218
GOA,-151.7673763,58.84748728
GOA,-151.5488179,58.96134195
GOA,-151.387712,58.99469575
GOA,-151.1864293,59.01900864
GOA,-150.9620147,59.04197082
GOA,-150.6617158,59.12480118
GOA,-150.3418676,59.2274061
GOA,-150.0789512,59.28976005
GOA,-149.8267677,59.38312486
GOA,-149.6669394,59.45278328
GOA,-149.3930645,59.56588259
GOA,-149.1563537,59.67135313
GOA,-148.9327745,59.73454964
GOA,-148.6132709,59.7583111
GOA,-148.4027512,59.7620206
GOA,-148.1911587,59.71517572
GOA,-148.0633661,59.65910609
GOA,-147.8091854,59.68058837
GOA,-147.5810004,59.70827064
GOA,-147.3109888,59.77596174
GOA,-147.0963339,59.8617687
GOA,-146.9919402,59.96264681
GOA,-146.862731,60.06188046
GOA,-146.667549,60.14923219
GOA,-146.4048451,60.24134907
GOA,-146.1311987,60.30103947
GOA,-145.9953098,60.30536116
GOA,-145.827445,60.31442544
GOA,-145.7564338,60.33085602
GOA,-145.6689205,60.37766708
GOA,-145.6374024,60.42154074
GOA,-145.6190667,60.47939655
SEAK,-130.346218,54.76112383
SEAK,-130.3688549,54.7856676
SEAK,-130.395005,54.83384623
SEAK,-130.4320457,54.89062296
SEAK,-130.456979,54.92966926
SEAK,-130.503827,55.00788536
SEAK,-130.5102913,55.07162569
SEAK,-130.5596657,55.16432715
SEAK,-130.6257408,55.2799861
SEAK,-130.6119051,55.33560859
SEAK,-130.6200875,55.40845122
SEAK,-130.6151429,55.5003047
SEAK,-130.6988135,55.65935416
SEAK,-130.7455509,55.74700513
SEAK,-130.8879085,55.90304592
SEAK,-131.0068555,55.98845708
SEAK,-131.0992484,56.04958625
SEAK,-131.2854536,56.1408324
SEAK,-131.3909595,56.27058877
SEAK,-131.4991904,56.30301291
SEAK,-131.6872641,56.35459609
SEAK,-131.6847517,56.41158004
SEAK,-131.7933664,56.59063102
SEAK,-131.8058047,56.65428244
SEAK,-131.8715939,56.71664525
SEAK,-131.9312667,56.78112971
SEAK,-132.0246761,56.82886768
SEAK,-132.1201048,56.86905331
SEAK,-132.224486,56.88658319
SEAK,-132.3637302,56.92571609
SEAK,-132.4743232,56.9554902
SEAK,-132.5408764,56.99899323
SEAK,-132.6138393,57.04021789
SEAK,-132.7847648,57.21106187
SEAK,-132.8374369,57.30893785
SEAK,-132.8472197,57.36719109
SEAK,-132.8456882,57.42063507
SEAK,-132.7599939,57.46478923
SEAK,-132.7529071,57.50936164
SEAK,-132.7782363,57.56102936
SEAK,-132.8126364,57.59188557
SEAK,-132.8851147,57.62392751
SEAK,-132.9681345,57.70116137
SEAK,-132.9954404,57.78937996
SEAK,-133.1891496,58.0380895
SEAK,-133.3007297,58.15217469
SEAK,-133.4276411,58.19879723
SEAK,-133.5280151,58.20846693
SEAK,-133.6698775,58.2298665
SEAK,-133.7673394,58.30947516
SEAK,-133.7259979,58.40810017
SEAK,-133.6296148,58.49953489
SEAK,-133.6670089,58.56319575
SEAK,-133.7577557,58.58626715
SEAK,-133.9624315,58.57162058
SEAK,-134.0961743,58.54345714
SEAK,-134.2227786,58.48989477
SEAK,-134.3509718,58.45634284
SEAK,-134.549784,58.54955767
SEAK,-134.6291366,58.66542974
SEAK,-134.6851356,58.76081498
SEAK,-134.7144398,58.82498796
SEAK,-134.7759073,58.9622873
SEAK,-134.8254436,59.02115913
SEAK,-134.9071202,59.12732418
SEAK,-134.9217339,59.21293056
SEAK,-135.0157423,59.34589696
SEAK,-135.2012546,59.49016788
SEAK,-135.3932166,59.54500829
SEAK,-135.5887134,59.52892213
SEAK,-135.7786818,59.48522575
SEAK,-135.8052638,59.42182234
SEAK,-135.7653142,59.31040431
SEAK,-135.6863467,59.22273291
SEAK,-135.5982912,59.1617334
SEAK,-135.5444683,59.09417534
SEAK,-135.5016637,58.99246955
SEAK,-135.4497813,58.91878148
SEAK,-135.4174845,58.84926947
SEAK,-135.3115761,58.76002242
SEAK,-135.315933,58.622933
SEAK,-135.2903894,58.56226276
SEAK,-135.3101184,58.51077982
SEAK,-135.3520293,58.50914039
SEAK,-135.3853829,58.54882634
SEAK,-135.4400921,58.58857397
SEAK,-135.5228727,58.59269205
SEAK,-135.6127763,58.5628927
SEAK,-135.6754339,58.55938646
SEAK,-135.7138182,58.6023037
SEAK,-135.7459279,58.66981175
SEAK,-135.8111185,58.72895439
SEAK,-135.8881545,58.79079888
SEAK,-136.0038546,58.77331715
SEAK,-136.0555542,58.7243215
SEAK,-136.071136,58.65257647
SEAK,-136.0522431,58.59501055
SEAK,-136.0400267,58.49247403
SEAK,-136.0328629,58.44871355
SEAK,-136.0176933,58.40197044
SEAK,-136.0414525,58.35546663
SEAK,-136.0892913,58.32899236
SEAK,-136.1896102,58.30145178
SEAK,-136.2889138,58.29242051
SEAK,-136.3317928,58.29405105
SEAK,-136.4826934,58.25973579
SEAK,-136.530993,58.21445122
SEAK,-136.6027371,58.17618407
SEAK,-136.7480281,58.11597129
SEAK,-136.791756,58.03747886
SEAK,-136.8128747,57.9443672
SEAK,-136.6636865,57.81455025
SEAK,-136.5453366,57.73291646
SEAK,-136.4241251,57.67197076
SEAK,-136.3226339,57.61658001
SEAK,-136.2100871,57.53627065
SEAK,-136.0735343,57.4012584
SEAK,-136.0452619,57.33498682
SEAK,-136.0396517,57.26299222
SEAK,-136.012285,57.19857014
SEAK,-136.0030347,57.13624163
SEAK,-136.0151517,57.07568268
SEAK,-136.0021353,57.01184791
SEAK,-135.9323545,56.9532394
SEAK,-135.8477748,56.92384448
SEAK,-135.7566873,56.90615085
SEAK,-135.6913514,56.88238043
SEAK,-135.7067416,56.83088845
SEAK,-135.6569193,56.77246843
SEAK,-135.5617489,56.7176017
SEAK,-135.4691931,56.66996573
SEAK,-135.3810776,56.601576
SEAK,-135.3049056,56.53775999
SEAK,-135.2483201,56.47044019
SEAK,-135.1385638,56.34484668
SEAK,-135.0124311,56.28911134
SEAK,-134.7763393,56.11262088
SEAK,-134.6091356,56.10405616
SEAK,-134.5077575,56.11410715
SEAK,-134.400744,56.1023177
SEAK,-134.3518576,56.0433151
SEAK,-134.2980699,55.97733231
SEAK,-134.1117572,55.96434898
SEAK,-133.9514232,56.01371862
SEAK,-133.8774772,56.06365092
SEAK,-133.824642,56.13220623
SEAK,-133.820273,56.19524999
SEAK,-133.7500314,56.30195216
SEAK,-133.6349429,56.37682293
SEAK,-133.4923635,56.39450624
